course_ref,subject_ref,requirement_type,minimum_grade
CHUKA-2528,MATH101,COMPULSORY,C+
CHUKA-2528,BST,ALTERNATIVE,C+
EU-2534,ENG,COMPULSORY,C+
EU-2534,KIS,ALTERNATIVE,C+
EU-2534,MATH101,COMPULSORY,C+
EU-2534,BST,ALTERNATIVE,C+
KSU-2535,ENG,COMPULSORY,C+
KSU-2535,KIS,ALTERNATIVE,C+
KSU-2535,MATH101,COMPULSORY,C+
KSU-2535,BST,ALTERNATIVE,C+
CUK-2539,ENG,COMPULSORY,C+
CUK-2539,KIS,ALTERNATIVE,C+
CUK-2539,MATH101,COMPULSORY,C+
CUK-2539,BST,ALTERNATIVE,C+
LU-2542,ENG,COMPULSORY,C+
LU-2542,KIS,ALTERNATIVE,C+
LU-2542,MATH101,COMPULSORY,C+
LU-2542,BST,ALTERNATIVE,C+
TMU-2548,ENG,COMPULSORY,C+
TMU-2548,KIS,ALTERNATIVE,C+
TMU-2548,MATH101,COMPULSORY,C+
TMU-2548,BST,ALTERNATIVE,C+
EU-2554,ENG,COMPULSORY,C+
EU-2554,KIS,ALTERNATIVE,C+
EU-2554,MATH101,COMPULSORY,C
EU-2554,GEO,OPTIONAL,C
MSU-2567,ENG,COMPULSORY,C+
MSU-2567,KIS,ALTERNATIVE,C+
MSU-2567,MATH101,COMPULSORY,C+
MSU-2567,COMP067,ALTERNATIVE,C+
MSU-2567,PHY,OPTIONAL,C
SEKU-2573,ENG,COMPULSORY,C+
SEKU-2573,KIS,ALTERNATIVE,C+
SEKU-2573,MATH101,COMPULSORY,C
SEKU-2573,GEO,OPTIONAL,C
KU-2577,ENG,COMPULSORY,C+
KU-2577,KIS,ALTERNATIVE,C+
KU-2577,MATH101,COMPULSORY,C
KU-2577,GEO,OPTIONAL,C
MU-2584,ENG,COMPULSORY,C+
MU-2584,KIS,ALTERNATIVE,C+
MU-2584,MATH101,COMPULSORY,C
MU-2584,GEO,OPTIONAL,C
UOE-2590,ENG,COMPULSORY,C+
UOE-2590,KIS,ALTERNATIVE,C+
UOE-2590,MATH101,COMPULSORY,C
UOE-2590,GEO,OPTIONAL,C
SCU-2596,ENG,COMPULSORY,C+
SCU-2596,KIS,ALTERNATIVE,C+
SCU-2596,MATH101,COMPULSORY,C+
SCU-2596,COMP067,ALTERNATIVE,C+
SCU-2596,PHY,OPTIONAL,C
GU-2602,ENG,COMPULSORY,C+
GU-2602,KIS,ALTERNATIVE,C+
GU-2602,MATH101,COMPULSORY,C+
GU-2602,COMP067,ALTERNATIVE,C+
GU-2602,PHY,OPTIONAL,C
KMU-2604,ENG,COMPULSORY,C+
KMU-2604,KIS,ALTERNATIVE,C+
KMU-2604,MATH101,COMPULSORY,C+
KMU-2604,COMP067,ALTERNATIVE,C+
KMU-2604,PHY,OPTIONAL,C
MMUOS-2608,ENG,COMPULSORY,C+
MMUOS-2608,KIS,ALTERNATIVE,C+
MMUOS-2608,MATH101,COMPULSORY,C+
MMUOS-2608,COMP067,ALTERNATIVE,C+
MMUOS-2608,PHY,OPTIONAL,C
DEKUT-2616,ENG,COMPULSORY,C+
DEKUT-2616,KIS,ALTERNATIVE,C+
DEKUT-2616,MATH101,COMPULSORY,C+
DEKUT-2616,COMP067,ALTERNATIVE,C+
DEKUT-2616,PHY,OPTIONAL,C
PU-2629,ENG,COMPULSORY,C+
PU-2629,KIS,ALTERNATIVE,C+
PU-2629,MATH101,COMPULSORY,C+
PU-2629,COMP067,ALTERNATIVE,C+
PU-2629,PHY,OPTIONAL,C
KU-2636,ENG,COMPULSORY,C+
KU-2636,KIS,ALTERNATIVE,C+
KU-2636,MATH101,COMPULSORY,C+
KU-2636,COMP067,ALTERNATIVE,C+
KU-2636,PHY,OPTIONAL,C
KSU-2637,ENG,COMPULSORY,C+
KSU-2637,KIS,ALTERNATIVE,C+
KSU-2637,MATH101,COMPULSORY,C+
KSU-2637,COMP067,ALTERNATIVE,C+
KSU-2637,PHY,OPTIONAL,C
RU-2644,ENG,COMPULSORY,C+
RU-2644,KIS,ALTERNATIVE,C+
RU-2644,MATH101,COMPULSORY,C+
RU-2644,COMP067,ALTERNATIVE,C+
RU-2644,PHY,OPTIONAL,C
MU-2651,ENG,COMPULSORY,C+
MU-2651,KIS,ALTERNATIVE,C+
MU-2651,MATH101,COMPULSORY,C+
MU-2651,COMP067,ALTERNATIVE,C+
MU-2651,PHY,OPTIONAL,C
UOE-2658,ENG,COMPULSORY,C+
UOE-2658,KIS,ALTERNATIVE,C+
UOE-2658,MATH101,COMPULSORY,C+
UOE-2658,COMP067,ALTERNATIVE,C+
UOE-2658,PHY,OPTIONAL,C
EU-2665,ENG,COMPULSORY,C+
EU-2665,KIS,ALTERNATIVE,C+
EU-2665,MATH101,COMPULSORY,C+
EU-2665,COMP067,ALTERNATIVE,C+
EU-2665,PHY,OPTIONAL,C
CHUKA-2672,ENG,COMPULSORY,C+
CHUKA-2672,KIS,ALTERNATIVE,C+
CHUKA-2672,MATH101,COMPULSORY,C
CHUKA-2672,GEO,OPTIONAL,C
RU-2679,ENG,COMPULSORY,C+
RU-2679,KIS,ALTERNATIVE,C+
RU-2679,MATH101,COMPULSORY,C+
RU-2679,COMP067,ALTERNATIVE,C+
RU-2679,PHY,OPTIONAL,C
KSU-2682,ENG,COMPULSORY,C+
KSU-2682,KIS,ALTERNATIVE,C+
KSU-2682,MATH101,COMPULSORY,C+
KSU-2682,COMP067,ALTERNATIVE,C+
KSU-2682,PHY,OPTIONAL,C
TMU-2689,ENG,COMPULSORY,C+
TMU-2689,KIS,ALTERNATIVE,C+
TMU-2689,MATH101,COMPULSORY,C+
TMU-2689,COMP067,ALTERNATIVE,C+
TMU-2689,PHY,OPTIONAL,C
GU-2696,ENG,COMPULSORY,C+
GU-2696,KIS,ALTERNATIVE,C+
GU-2696,MATH101,COMPULSORY,C+
GU-2696,COMP067,ALTERNATIVE,C+
GU-2696,PHY,OPTIONAL,C
KU-2702,ENG,COMPULSORY,C+
KU-2702,KIS,ALTERNATIVE,C+
KU-2702,MATH101,COMPULSORY,C+
KU-2702,COMP067,ALTERNATIVE,C+
KU-2702,PHY,OPTIONAL,C
UOE-2703,ENG,COMPULSORY,C+
UOE-2703,KIS,ALTERNATIVE,C+
UOE-2703,MATH101,COMPULSORY,C+
UOE-2703,COMP067,ALTERNATIVE,C+
UOE-2703,PHY,OPTIONAL,C
MUST-2704,ENG,COMPULSORY,C+
MUST-2704,KIS,ALTERNATIVE,C+
MUST-2704,MATH101,COMPULSORY,C+
MUST-2704,COMP067,ALTERNATIVE,C+
MUST-2704,PHY,OPTIONAL,C
KSU-2708,ENG,COMPULSORY,C+
KSU-2708,KIS,ALTERNATIVE,C+
KSU-2708,MATH101,COMPULSORY,C
KSU-2708,GEO,OPTIONAL,C
JKUAT-2714,ENG,COMPULSORY,C+
JKUAT-2714,KIS,ALTERNATIVE,C+
JKUAT-2714,MATH101,COMPULSORY,C
JKUAT-2714,GEO,OPTIONAL,C
KCA-2715,ENG,COMPULSORY,C+
KCA-2715,KIS,ALTERNATIVE,C+
KCA-2715,MATH101,COMPULSORY,C+
KCA-2715,COMP067,ALTERNATIVE,C+
KCA-2715,PHY,OPTIONAL,C
MMUOS-2721,ENG,COMPULSORY,C+
MMUOS-2721,KIS,ALTERNATIVE,C+
MMUOS-2721,MATH101,COMPULSORY,C+
MMUOS-2721,COMP067,ALTERNATIVE,C+
MMUOS-2721,PHY,OPTIONAL,C
UOE-2722,ENG,COMPULSORY,C+
UOE-2722,KIS,ALTERNATIVE,C+
UOE-2722,MATH101,COMPULSORY,C+
UOE-2722,COMP067,ALTERNATIVE,C+
UOE-2722,PHY,OPTIONAL,C
AU-2729,ENG,COMPULSORY,C+
AU-2729,KIS,ALTERNATIVE,C+
AU-2729,MATH101,COMPULSORY,C+
AU-2729,COMP067,ALTERNATIVE,C+
AU-2729,PHY,OPTIONAL,C
TUK-2730,ENG,COMPULSORY,C+
TUK-2730,KIS,ALTERNATIVE,C+
TUK-2730,MATH101,COMPULSORY,C+
TUK-2730,COMP067,ALTERNATIVE,C+
TUK-2730,PHY,OPTIONAL,C
UOE-2737,ENG,COMPULSORY,C+
UOE-2737,KIS,ALTERNATIVE,C+
UOE-2737,MATH101,COMPULSORY,C
UOE-2737,GEO,OPTIONAL,C
EU-2743,ENG,COMPULSORY,C+
EU-2743,KIS,ALTERNATIVE,C+
EU-2743,MATH101,COMPULSORY,C
EU-2743,GEO,OPTIONAL,C
JOOUS-2749,ENG,COMPULSORY,C+
JOOUS-2749,KIS,ALTERNATIVE,C+
JOOUS-2749,MATH101,COMPULSORY,C
JOOUS-2749,GEO,OPTIONAL,C
TU-2752,ENG,COMPULSORY,C+
TU-2752,KIS,ALTERNATIVE,C+
TU-2752,MATH101,COMPULSORY,C
TU-2752,GEO,OPTIONAL,C
KU-2757,ENG,COMPULSORY,C+
KU-2757,KIS,ALTERNATIVE,C+
KU-2757,MATH101,COMPULSORY,C
KU-2757,GEO,OPTIONAL,C
LU-2763,ENG,COMPULSORY,C+
LU-2763,KIS,ALTERNATIVE,C+
LU-2763,MATH101,COMPULSORY,C
LU-2763,GEO,OPTIONAL,C
KSU-2769,ENG,COMPULSORY,C+
KSU-2769,KIS,ALTERNATIVE,C+
KSU-2769,MATH101,COMPULSORY,C
KSU-2769,GEO,OPTIONAL,C
MUT-2776,ENG,COMPULSORY,C+
MUT-2776,KIS,ALTERNATIVE,C+
MUT-2776,MATH101,COMPULSORY,C
MUT-2776,GEO,OPTIONAL,C
UOE-2783,ENG,COMPULSORY,C+
UOE-2783,KIS,ALTERNATIVE,C+
UOE-2783,MATH101,COMPULSORY,C
UOE-2783,GEO,OPTIONAL,C
JOOUS-2785,ENG,COMPULSORY,C+
JOOUS-2785,KIS,ALTERNATIVE,C+
JOOUS-2785,MATH101,COMPULSORY,C
JOOUS-2785,GEO,OPTIONAL,C
KSU-2792,ENG,COMPULSORY,C+
KSU-2792,KIS,ALTERNATIVE,C+
KSU-2792,MATH101,COMPULSORY,C+
KSU-2792,COMP067,ALTERNATIVE,C+
KSU-2792,PHY,OPTIONAL,C
SEKU-2799,ENG,COMPULSORY,C+
SEKU-2799,KIS,ALTERNATIVE,C+
SEKU-2799,MATH101,COMPULSORY,C+
SEKU-2799,COMP067,ALTERNATIVE,C+
SEKU-2799,PHY,OPTIONAL,C
KSU-2805,ENG,COMPULSORY,C+
KSU-2805,KIS,ALTERNATIVE,C+
KSU-2805,HIS,ALTERNATIVE,C+
KSU-2805,GEO,OPTIONAL,C
ZU-2811,ENG,COMPULSORY,C+
ZU-2811,KIS,ALTERNATIVE,C+
ZU-2811,MATH101,COMPULSORY,C+
ZU-2811,COMP067,ALTERNATIVE,C+
ZU-2811,PHY,OPTIONAL,C
KU-2814,ENG,COMPULSORY,C+
KU-2814,KIS,ALTERNATIVE,C+
KU-2814,HIS,ALTERNATIVE,C+
KU-2814,GEO,OPTIONAL,C
CHUKA-2815,ENG,COMPULSORY,C+
CHUKA-2815,KIS,ALTERNATIVE,C+
CHUKA-2815,HIS,ALTERNATIVE,C+
CHUKA-2815,GEO,OPTIONAL,C
MSU-2822,ENG,COMPULSORY,C+
MSU-2822,KIS,ALTERNATIVE,C+
MSU-2822,MATH101,COMPULSORY,C+
MSU-2822,COMP067,ALTERNATIVE,C+
MSU-2822,PHY,OPTIONAL,C
CHUKA-2829,ENG,COMPULSORY,C+
CHUKA-2829,KIS,ALTERNATIVE,C+
CHUKA-2829,MATH101,COMPULSORY,C+
CHUKA-2829,COMP067,ALTERNATIVE,C+
CHUKA-2829,PHY,OPTIONAL,C
CUK-2836,ENG,COMPULSORY,C+
CUK-2836,KIS,ALTERNATIVE,C+
CUK-2836,MATH101,COMPULSORY,C+
CUK-2836,COMP067,ALTERNATIVE,C+
CUK-2836,PHY,OPTIONAL,C
ANU-2843,ENG,COMPULSORY,C+
ANU-2843,KIS,ALTERNATIVE,C+
ANU-2843,MATH101,COMPULSORY,C
ANU-2843,GEO,OPTIONAL,C
JKUAT-2860,ENG,COMPULSORY,C+
JKUAT-2860,KIS,ALTERNATIVE,C+
JKUAT-2860,MATH101,COMPULSORY,C
JKUAT-2860,GEO,OPTIONAL,C
UOE-2861,ENG,COMPULSORY,C+
UOE-2861,KIS,ALTERNATIVE,C+
UOE-2861,MATH101,COMPULSORY,C+
UOE-2861,BST,ALTERNATIVE,C+
TTU-2867,ENG,COMPULSORY,C+
TTU-2867,KIS,ALTERNATIVE,C+
TTU-2867,MATH101,COMPULSORY,C+
TTU-2867,BST,ALTERNATIVE,C+
MMUOS-2868,ENG,COMPULSORY,C+
MMUOS-2868,KIS,ALTERNATIVE,C+
MMUOS-2868,MATH101,COMPULSORY,C+
MMUOS-2868,PHY,COMPULSORY,C+
MMUOS-2868,COMP067,OPTIONAL,C
EU-2882,ENG,COMPULSORY,C+
EU-2882,KIS,ALTERNATIVE,C+
EU-2882,MATH101,COMPULSORY,C
EU-2882,GEO,OPTIONAL,C
TTU-2888,ENG,COMPULSORY,C+
TTU-2888,KIS,ALTERNATIVE,C+
TTU-2888,MATH101,COMPULSORY,C
TTU-2888,GEO,OPTIONAL,C
RU-2894,ENG,COMPULSORY,C+
RU-2894,KIS,ALTERNATIVE,C+
RU-2894,MATH101,COMPULSORY,C
RU-2894,GEO,OPTIONAL,C
TUM-2896,ENG,COMPULSORY,C+
TUM-2896,KIS,ALTERNATIVE,C+
TUM-2896,MATH101,COMPULSORY,C
TUM-2896,GEO,OPTIONAL,C
DEKUT-2897,ENG,COMPULSORY,C+
DEKUT-2897,KIS,ALTERNATIVE,C+
DEKUT-2897,MATH101,COMPULSORY,C
DEKUT-2897,GEO,OPTIONAL,C
JKUAT-2903,ENG,COMPULSORY,C+
JKUAT-2903,KIS,ALTERNATIVE,C+
JKUAT-2903,MATH101,COMPULSORY,C
JKUAT-2903,GEO,OPTIONAL,C
JOOUS-2906,ENG,COMPULSORY,C+
JOOUS-2906,KIS,ALTERNATIVE,C+
JOOUS-2906,MATH101,COMPULSORY,C
JOOUS-2906,GEO,OPTIONAL,C
ANU-2912,ENG,COMPULSORY,C+
ANU-2912,KIS,ALTERNATIVE,C+
ANU-2912,MATH101,COMPULSORY,C
ANU-2912,GEO,OPTIONAL,C
UOE-2918,ENG,COMPULSORY,C+
UOE-2918,KIS,ALTERNATIVE,C+
UOE-2918,MATH101,COMPULSORY,C
UOE-2918,GEO,OPTIONAL,C
MSU-2930,ENG,COMPULSORY,C+
MSU-2930,KIS,ALTERNATIVE,C+
MSU-2930,MATH101,COMPULSORY,C
MSU-2930,GEO,OPTIONAL,C
MUT-2936,ENG,COMPULSORY,C+
MUT-2936,KIS,ALTERNATIVE,C+
MUT-2936,MATH101,COMPULSORY,C
MUT-2936,GEO,OPTIONAL,C
CHUKA-2942,ENG,COMPULSORY,C+
CHUKA-2942,KIS,ALTERNATIVE,C+
CHUKA-2942,MATH101,COMPULSORY,C
CHUKA-2942,GEO,OPTIONAL,C
KCA-2948,ENG,COMPULSORY,C+
KCA-2948,KIS,ALTERNATIVE,C+
KCA-2948,MATH101,COMPULSORY,C
KCA-2948,GEO,OPTIONAL,C
MKU-2954,ENG,COMPULSORY,C+
MKU-2954,KIS,ALTERNATIVE,C+
MKU-2954,MATH101,COMPULSORY,C
MKU-2954,GEO,OPTIONAL,C
MMUOS-2960,ENG,COMPULSORY,C+
MMUOS-2960,KIS,ALTERNATIVE,C+
MMUOS-2960,MATH101,COMPULSORY,C+
MMUOS-2960,PHY,COMPULSORY,C+
MMUOS-2960,COMP067,OPTIONAL,C
MMUOS-2967,ENG,COMPULSORY,C+
MMUOS-2967,KIS,ALTERNATIVE,C+
MMUOS-2967,MATH101,COMPULSORY,C+
MMUOS-2967,BST,ALTERNATIVE,C+
TTU-2973,ENG,COMPULSORY,C+
TTU-2973,KIS,ALTERNATIVE,C+
TTU-2973,MATH101,COMPULSORY,C+
TTU-2973,BST,ALTERNATIVE,C+
KSU-2979,ENG,COMPULSORY,C+
KSU-2979,KIS,ALTERNATIVE,C+
KSU-2979,MATH101,COMPULSORY,C+
KSU-2979,BST,ALTERNATIVE,C+
CHUKA-2980,ENG,COMPULSORY,C+
CHUKA-2980,KIS,ALTERNATIVE,C+
CHUKA-2980,MATH101,COMPULSORY,C+
CHUKA-2980,BST,ALTERNATIVE,C+
EU-2986,ENG,COMPULSORY,C+
EU-2986,KIS,ALTERNATIVE,C+
EU-2986,MATH101,COMPULSORY,C+
EU-2986,BST,ALTERNATIVE,C+
UOE-2987,ENG,COMPULSORY,C+
UOE-2987,KIS,ALTERNATIVE,C+
UOE-2987,BIO,COMPULSORY,C+
UOE-2987,AGR,ALTERNATIVE,C+
UOE-2987,CHE,OPTIONAL,C
CHUKA-2993,ENG,COMPULSORY,C+
CHUKA-2993,KIS,ALTERNATIVE,C+
CHUKA-2993,BIO,COMPULSORY,C+
CHUKA-2993,AGR,ALTERNATIVE,C+
CHUKA-2993,CHE,OPTIONAL,C
UON-2999,ENG,COMPULSORY,C+
UON-2999,KIS,ALTERNATIVE,C+
UON-2999,BIO,COMPULSORY,C+
UON-2999,AGR,ALTERNATIVE,C+
UON-2999,CHE,OPTIONAL,C
TUM-3000,ENG,COMPULSORY,C+
TUM-3000,KIS,ALTERNATIVE,C+
TUM-3000,BIO,COMPULSORY,C+
TUM-3000,AGR,ALTERNATIVE,C+
TUM-3000,CHE,OPTIONAL,C
MMUOS-3006,ENG,COMPULSORY,C+
MMUOS-3006,KIS,ALTERNATIVE,C+
MMUOS-3006,HIS,ALTERNATIVE,C+
MMUOS-3006,GEO,OPTIONAL,C
KU-3012,ENG,COMPULSORY,C+
KU-3012,KIS,ALTERNATIVE,C+
KU-3012,HIS,ALTERNATIVE,C+
KU-3012,GEO,OPTIONAL,C
CHUKA-3019,ENG,COMPULSORY,C+
CHUKA-3019,KIS,ALTERNATIVE,C+
CHUKA-3019,BIO,COMPULSORY,C+
CHUKA-3019,CHE,COMPULSORY,C+
CHUKA-3019,MATH101,ALTERNATIVE,C+
MMUOS-3020,ENG,COMPULSORY,C+
MMUOS-3020,KIS,ALTERNATIVE,C+
MMUOS-3020,BIO,COMPULSORY,C+
MMUOS-3020,AGR,ALTERNATIVE,C+
MMUOS-3020,CHE,OPTIONAL,C
JKUAT-3026,ENG,COMPULSORY,C+
JKUAT-3026,KIS,ALTERNATIVE,C+
JKUAT-3026,BIO,COMPULSORY,C+
JKUAT-3026,CHE,COMPULSORY,C+
JKUAT-3026,MATH101,ALTERNATIVE,C+
MKU-3033,ENG,COMPULSORY,C+
MKU-3033,KIS,ALTERNATIVE,C+
MKU-3033,BIO,COMPULSORY,C+
MKU-3033,CHE,COMPULSORY,C+
MKU-3033,MATH101,ALTERNATIVE,C+
KSU-3039,ENG,COMPULSORY,C+
KSU-3039,KIS,ALTERNATIVE,C+
KSU-3039,HIS,ALTERNATIVE,C+
KSU-3039,GEO,OPTIONAL,C
EU-3046,ENG,COMPULSORY,C+
EU-3046,KIS,ALTERNATIVE,C+
EU-3046,HIS,ALTERNATIVE,C+
EU-3046,GEO,OPTIONAL,C
CHUKA-3053,ENG,COMPULSORY,C+
CHUKA-3053,KIS,ALTERNATIVE,C+
CHUKA-3053,MATH101,COMPULSORY,C+
CHUKA-3053,BST,ALTERNATIVE,C+
CHUKA-3066,ENG,COMPULSORY,C+
CHUKA-3066,KIS,ALTERNATIVE,C+
CHUKA-3066,BIO,COMPULSORY,C+
CHUKA-3066,AGR,ALTERNATIVE,C+
CHUKA-3066,CHE,OPTIONAL,C
EU-3072,ENG,COMPULSORY,C+
EU-3072,KIS,ALTERNATIVE,C+
EU-3072,BIO,COMPULSORY,C+
EU-3072,AGR,ALTERNATIVE,C+
EU-3072,CHE,OPTIONAL,C
KSU-3073,ENG,COMPULSORY,C+
KSU-3073,KIS,ALTERNATIVE,C+
KSU-3073,BIO,COMPULSORY,C+
KSU-3073,AGR,ALTERNATIVE,C+
KSU-3073,CHE,OPTIONAL,C
MU-3079,ENG,COMPULSORY,C+
MU-3079,KIS,ALTERNATIVE,C+
MU-3079,BIO,COMPULSORY,C+
MU-3079,AGR,ALTERNATIVE,C+
MU-3079,CHE,OPTIONAL,C
MSU-3085,ENG,COMPULSORY,C+
MSU-3085,KIS,ALTERNATIVE,C+
MSU-3085,MATH101,COMPULSORY,C+
MSU-3085,COMP067,ALTERNATIVE,C+
MSU-3085,PHY,OPTIONAL,C
RU-3091,ENG,COMPULSORY,C+
RU-3091,KIS,ALTERNATIVE,C+
RU-3091,HIS,ALTERNATIVE,C+
RU-3091,GEO,OPTIONAL,C
MSU-3098,ENG,COMPULSORY,C+
MSU-3098,KIS,ALTERNATIVE,C+
MSU-3098,MATH101,COMPULSORY,C+
MSU-3098,COMP067,ALTERNATIVE,C+
MSU-3098,PHY,OPTIONAL,C
TUK-3105,ENG,COMPULSORY,C+
TUK-3105,KIS,ALTERNATIVE,C+
TUK-3105,HIS,ALTERNATIVE,C+
TUK-3105,GEO,OPTIONAL,C
KMU-3112,ENG,COMPULSORY,C+
KMU-3112,KIS,ALTERNATIVE,C+
KMU-3112,HIS,ALTERNATIVE,C+
KMU-3112,GEO,OPTIONAL,C
RU-3117,ENG,COMPULSORY,C+
RU-3117,KIS,ALTERNATIVE,C+
RU-3117,HIS,ALTERNATIVE,C+
RU-3117,GEO,OPTIONAL,C
DU-3126,ENG,COMPULSORY,C+
DU-3126,KIS,ALTERNATIVE,C+
DU-3126,HIS,ALTERNATIVE,C+
DU-3126,GEO,OPTIONAL,C
ZU-3132,ENG,COMPULSORY,C+
ZU-3132,KIS,ALTERNATIVE,C+
ZU-3132,HIS,ALTERNATIVE,C+
ZU-3132,GEO,OPTIONAL,C
UON-3138,ENG,COMPULSORY,C+
UON-3138,KIS,ALTERNATIVE,C+
UON-3138,HIS,ALTERNATIVE,C+
UON-3138,GEO,OPTIONAL,C
CUK-3142,ENG,COMPULSORY,C+
CUK-3142,KIS,ALTERNATIVE,C+
CUK-3142,MATH101,COMPULSORY,C
CUK-3142,GEO,OPTIONAL,C
EU-3148,ENG,COMPULSORY,C+
EU-3148,KIS,ALTERNATIVE,C+
EU-3148,MATH101,COMPULSORY,C+
EU-3148,BST,ALTERNATIVE,C+
TU-3153,ENG,COMPULSORY,C+
TU-3153,KIS,ALTERNATIVE,C+
TU-3153,MATH101,COMPULSORY,C
TU-3153,GEO,OPTIONAL,C
JKUAT-3159,ENG,COMPULSORY,C+
JKUAT-3159,KIS,ALTERNATIVE,C+
JKUAT-3159,MATH101,COMPULSORY,C
JKUAT-3159,GEO,OPTIONAL,C
MUT-3165,ENG,COMPULSORY,C+
MUT-3165,KIS,ALTERNATIVE,C+
MUT-3165,MATH101,COMPULSORY,C
MUT-3165,GEO,OPTIONAL,C
EU-3171,ENG,COMPULSORY,C+
EU-3171,KIS,ALTERNATIVE,C+
EU-3171,MATH101,COMPULSORY,C+
EU-3171,BST,ALTERNATIVE,C+
CHUKA-3177,ENG,COMPULSORY,C+
CHUKA-3177,KIS,ALTERNATIVE,C+
CHUKA-3177,MATH101,COMPULSORY,C
CHUKA-3177,GEO,OPTIONAL,C
KSU-3183,ENG,COMPULSORY,C+
KSU-3183,KIS,ALTERNATIVE,C+
KSU-3183,MATH101,COMPULSORY,C
KSU-3183,GEO,OPTIONAL,C
MU-3193,ENG,COMPULSORY,C+
MU-3193,KIS,ALTERNATIVE,C+
MU-3193,MATH101,COMPULSORY,C
MU-3193,GEO,OPTIONAL,C
MMU-3195,ENG,COMPULSORY,C+
MMU-3195,KIS,ALTERNATIVE,C+
MMU-3195,MATH101,COMPULSORY,C
MMU-3195,GEO,OPTIONAL,C
MSU-3201,ENG,COMPULSORY,C+
MSU-3201,KIS,ALTERNATIVE,C+
MSU-3201,MATH101,COMPULSORY,C+
MSU-3201,BST,ALTERNATIVE,C+
UOE-3208,ENG,COMPULSORY,C+
UOE-3208,KIS,ALTERNATIVE,C+
UOE-3208,MATH101,COMPULSORY,C
UOE-3208,GEO,OPTIONAL,C
KU-3211,ENG,COMPULSORY,C+
KU-3211,KIS,ALTERNATIVE,C+
KU-3211,MATH101,COMPULSORY,C+
KU-3211,BST,ALTERNATIVE,C+
KSU-3217,ENG,COMPULSORY,C+
KSU-3217,KIS,ALTERNATIVE,C+
KSU-3217,HIS,ALTERNATIVE,C+
KSU-3217,GEO,OPTIONAL,C
MU-3223,ENG,COMPULSORY,C+
MU-3223,KIS,ALTERNATIVE,C+
MU-3223,HIS,ALTERNATIVE,C+
MU-3223,GEO,OPTIONAL,C
SEKU-3227,ENG,COMPULSORY,C+
SEKU-3227,KIS,ALTERNATIVE,C+
SEKU-3227,HIS,ALTERNATIVE,C+
SEKU-3227,GEO,OPTIONAL,C
KSU-3231,ENG,COMPULSORY,C+
KSU-3231,KIS,ALTERNATIVE,C+
KSU-3231,HIS,ALTERNATIVE,C+
KSU-3231,GEO,OPTIONAL,C
CUK-3237,ENG,COMPULSORY,C+
CUK-3237,KIS,ALTERNATIVE,C+
CUK-3237,MATH101,COMPULSORY,C
CUK-3237,GEO,OPTIONAL,C
TMU-3238,ENG,COMPULSORY,C+
TMU-3238,KIS,ALTERNATIVE,C+
TMU-3238,MATH101,COMPULSORY,C+
TMU-3238,COMP067,ALTERNATIVE,C+
TMU-3238,PHY,OPTIONAL,C
TUC-3244,ENG,COMPULSORY,C+
TUC-3244,KIS,ALTERNATIVE,C+
TUC-3244,MATH101,COMPULSORY,C
TUC-3244,GEO,OPTIONAL,C
MKU-3249,ENG,COMPULSORY,C+
MKU-3249,KIS,ALTERNATIVE,C+
MKU-3249,MATH101,COMPULSORY,C
MKU-3249,GEO,OPTIONAL,C
MUT-3250,ENG,COMPULSORY,C+
MUT-3250,KIS,ALTERNATIVE,C+
MUT-3250,MATH101,COMPULSORY,C+
MUT-3250,COMP067,ALTERNATIVE,C+
MUT-3250,PHY,OPTIONAL,C
TTU-3256,ENG,COMPULSORY,C+
TTU-3256,KIS,ALTERNATIVE,C+
TTU-3256,MATH101,COMPULSORY,C+
TTU-3256,BST,ALTERNATIVE,C+
TUM-3262,ENG,COMPULSORY,C+
TUM-3262,KIS,ALTERNATIVE,C+
TUM-3262,MATH101,COMPULSORY,C+
TUM-3262,BST,ALTERNATIVE,C+
KMU-3268,ENG,COMPULSORY,C+
KMU-3268,KIS,ALTERNATIVE,C+
KMU-3268,MATH101,COMPULSORY,C+
KMU-3268,BST,ALTERNATIVE,C+
TMU-3273,ENG,COMPULSORY,C+
TMU-3273,KIS,ALTERNATIVE,C+
TMU-3273,MATH101,COMPULSORY,C+
TMU-3273,BST,ALTERNATIVE,C+
KU-3279,ENG,COMPULSORY,C+
KU-3279,KIS,ALTERNATIVE,C+
KU-3279,MATH101,COMPULSORY,C+
KU-3279,BST,ALTERNATIVE,C+
ZU-3280,ENG,COMPULSORY,C+
ZU-3280,KIS,ALTERNATIVE,C+
ZU-3280,MATH101,COMPULSORY,C+
ZU-3280,BST,ALTERNATIVE,C+
MU-3283,ENG,COMPULSORY,C+
MU-3283,KIS,ALTERNATIVE,C+
MU-3283,MATH101,COMPULSORY,C+
MU-3283,BST,ALTERNATIVE,C+
JKUAT-3289,ENG,COMPULSORY,C+
JKUAT-3289,KIS,ALTERNATIVE,C+
JKUAT-3289,MATH101,COMPULSORY,C+
JKUAT-3289,BST,ALTERNATIVE,C+
MMUOS-3291,ENG,COMPULSORY,C+
MMUOS-3291,KIS,ALTERNATIVE,C+
MMUOS-3291,HIS,ALTERNATIVE,C+
MMUOS-3291,GEO,OPTIONAL,C
UOE-3297,ENG,COMPULSORY,C+
UOE-3297,KIS,ALTERNATIVE,C+
UOE-3297,HIS,ALTERNATIVE,C+
UOE-3297,GEO,OPTIONAL,C
